serial No,Korean,Math,English,Inquiry 1,Inquiry 2,University,Tutoring Period,University_rank,chance of admit
68,7,6,2,6,3,Pusan National University,3,43,0.7219680778466429
68,4,7,5,1,4,Pusan National University,3,43,0.94
435,1,7,4,5,6,Pusan National University,1,43,0.4399999999999999
265,2,5,8,3,9,Pusan National University,1,43,0.4399999999999999
322,3,5,6,4,8,Pusan National University,1,43,0.54
333,3,1,2,6,6,Pusan National University,2,43,0.8899999999999999
265,3,1,1,4,7,Pusan National University,1,43,0.121035605491723
333,7,1,3,2,9,Pusan National University,2,43,0.8899999999999999
138,1,6,9,6,2,Pusan National University,3,43,1.0
242,6,4,4,4,5,Pusan National University,1,43,0.4399999999999999
322,4,4,9,2,2,Pusan National University,1,43,0.54
435,9,2,7,5,7,Pusan National University,1,43,0.4399999999999999
138,9,1,4,2,6,Pusan National University,3,43,0.7162695586543099
242,6,6,7,6,6,Pusan National University,1,43,0.1243045858447095
138,1,9,9,9,5,Pusan National University,3,43,0.7387332821724367
473,8,9,6,1,2,Pusan National University,4,43,0.39
138,6,3,4,6,5,Pusan National University,3,43,1.0
194,5,1,4,2,4,Pusan National University,3,43,1.0
138,6,3,8,8,8,Pusan National University,3,43,1.0
138,1,5,6,3,2,Pusan National University,3,43,0.5636930616965875
303,9,9,5,1,4,Pusan National University,3,43,0.94
303,4,3,4,2,4,Pusan National University,3,43,0.94
333,6,7,9,4,5,Pusan National University,2,43,0.8899999999999999
68,7,6,8,6,7,Pusan National University,3,43,0.7406331853906425
473,7,5,2,2,8,Pusan National University,4,43,0.0378576292069816
194,4,9,8,2,5,Pusan National University,3,43,1.0
242,2,1,3,6,3,Pusan National University,1,43,0.4399999999999999
265,5,2,4,1,1,Pusan National University,1,43,0.1496651455677056
265,4,8,9,3,6,Pusan National University,1,43,0.4399999999999999
472,5,9,7,9,9,Pusan National University,2,43,0.79
242,4,1,1,9,6,Pusan National University,1,43,0.4399999999999999
242,8,6,8,7,4,Pusan National University,1,43,0.4399999999999999
194,6,1,8,1,4,Pusan National University,3,43,1.0
333,6,6,9,6,5,Pusan National University,2,43,0.4038591639126943
303,6,1,6,6,7,Pusan National University,3,43,0.94
251,7,9,1,5,9,Pusan National University,2,43,0.3658656198599392
472,1,6,9,2,2,Pusan National University,2,43,0.4936023600208216
322,5,3,7,4,1,Pusan National University,1,43,0.54
138,1,6,6,9,9,Pusan National University,3,43,0.8541439500530713
68,5,1,5,5,8,Pusan National University,3,43,0.94
251,2,2,7,7,3,Pusan National University,2,43,0.5776238872552228
265,1,7,7,2,4,Pusan National University,1,43,0.4399999999999999
333,5,2,3,1,1,Pusan National University,2,43,0.5155506830879226
473,7,4,1,4,7,Pusan National University,4,43,0.39
68,8,6,9,2,1,Pusan National University,3,43,0.659081905582793
333,1,7,1,4,4,Pusan National University,2,43,0.8899999999999999
242,3,8,6,9,7,Pusan National University,1,43,0.1014644102778102
472,5,8,1,9,6,Pusan National University,2,43,0.79
303,2,9,9,5,9,Pusan National University,3,43,0.7125289591304633
68,2,1,5,1,5,Pusan National University,3,43,0.94
194,2,8,9,5,8,Pusan National University,3,43,1.0
194,7,1,3,4,1,Pusan National University,3,43,1.0
251,6,3,4,6,7,Pusan National University,2,43,0.69
265,4,9,2,2,7,Pusan National University,1,43,0.4399999999999999
333,5,3,2,3,3,Pusan National University,2,43,0.5150694234787547
473,9,8,5,7,2,Pusan National University,4,43,0.39
322,7,6,7,4,2,Pusan National University,1,43,0.54
472,8,7,9,9,5,Pusan National University,2,43,0.79
435,5,8,4,6,2,Pusan National University,1,43,0.4399999999999999
435,8,7,8,4,9,Pusan National University,1,43,0.4399999999999999
445,1,6,5,4,2,Silla University,1,0,0.4399999999999999
445,3,1,1,9,5,Silla University,1,0,0.4399999999999999
25,1,6,9,9,7,Silla University,3,0,0.8118388389140806
396,7,3,8,3,8,Silla University,1,0,0.4399999999999999
278,9,6,5,5,6,Silla University,1,0,0.54
320,3,1,5,1,1,Silla University,4,0,0.39
445,8,4,8,4,4,Silla University,1,0,0.0
436,5,4,6,7,7,Silla University,1,0,0.3912288221681518
139,6,6,8,3,8,Silla University,1,0,0.0415034983063405
320,1,5,8,5,6,Silla University,4,0,0.39
25,4,3,1,8,4,Silla University,3,0,1.0
396,2,7,5,4,2,Silla University,1,0,0.4399999999999999
436,1,1,2,8,4,Silla University,1,0,0.3563109616935351
254,1,5,2,8,1,Silla University,4,0,0.39
278,4,1,4,6,3,Silla University,1,0,0.54
278,5,4,9,8,3,Silla University,1,0,0.3644123147656917
396,5,7,9,8,8,Silla University,1,0,0.4399999999999999
320,4,1,4,7,1,Silla University,4,0,0.39
320,1,9,3,8,5,Silla University,4,0,0.39
396,9,1,7,6,5,Silla University,1,0,0.4399999999999999
10,9,1,7,5,2,Silla University,3,0,0.94
10,5,2,6,8,7,Silla University,3,0,0.94
320,9,9,5,9,2,Silla University,4,0,0.39
442,6,4,5,8,3,Silla University,3,0,0.6032361106485308
442,9,5,6,7,3,Silla University,3,0,0.94
396,7,7,4,6,2,Silla University,1,0,0.3055123242398423
442,1,6,3,2,6,Silla University,3,0,0.94
442,1,3,4,6,7,Silla University,3,0,0.94
278,5,1,5,7,6,Silla University,1,0,0.253857115312061
445,7,2,6,3,4,Silla University,1,0,0.4399999999999999
396,1,1,8,5,3,Silla University,1,0,0.4399999999999999
436,8,2,6,2,8,Silla University,1,0,0.0788697758070773
278,2,8,5,3,7,Silla University,1,0,0.54
445,9,8,3,8,7,Silla University,1,0,0.26784639174331
310,2,7,9,2,7,Silla University,1,0,0.54
445,3,3,5,6,4,Silla University,1,0,0.2582331672963657
436,5,7,7,6,8,Silla University,1,0,0.54
254,1,5,1,7,7,Silla University,4,0,0.39
396,7,8,9,2,2,Silla University,1,0,0.4399999999999999
310,6,2,5,5,6,Silla University,1,0,0.54
445,4,6,3,3,7,Silla University,1,0,0.4399999999999999
25,7,5,2,3,6,Silla University,3,0,1.0
320,4,2,3,9,2,Silla University,4,0,0.39
320,9,8,2,4,9,Silla University,4,0,0.2068472764795713
442,7,1,9,6,8,Silla University,3,0,0.94
10,5,3,5,8,6,Silla University,3,0,0.94
254,7,4,4,9,3,Silla University,4,0,0.39
278,8,4,5,6,6,Silla University,1,0,0.54
10,9,6,2,4,2,Silla University,3,0,0.94
436,4,9,6,6,1,Silla University,1,0,0.3644038375890718
396,1,3,1,7,8,Silla University,1,0,0.4399999999999999
25,8,6,9,8,1,Silla University,3,0,1.0
254,8,7,4,1,4,Silla University,4,0,0.39
139,1,5,4,8,8,Silla University,1,0,0.125115579055701
320,3,8,4,9,5,Silla University,4,0,0.39
25,5,9,8,1,8,Silla University,3,0,1.0
436,9,6,8,5,8,Silla University,1,0,0.54
442,2,5,7,1,6,Silla University,3,0,0.7480866685283755
436,6,7,1,9,5,Silla University,1,0,0.54
10,3,2,7,7,4,Silla University,3,0,0.6772796775931196
396,9,7,5,1,8,Silla University,1,0,0.4399999999999999
278,2,8,1,9,2,Silla University,1,0,0.0461424306827988
254,8,6,3,8,5,Silla University,4,0,0.0
254,1,5,4,8,2,Silla University,4,0,0.39
278,2,4,7,7,1,Silla University,1,0,0.54
25,5,6,1,5,4,Silla University,3,0,1.0
436,9,7,5,1,2,Silla University,1,0,0.54
396,6,9,1,8,7,Silla University,1,0,0.1147423745954808
10,3,7,1,5,1,Silla University,3,0,0.94
320,7,3,4,4,4,Silla University,4,0,0.2274433863693626
278,2,7,2,9,4,Silla University,1,0,0.54
310,5,2,2,5,4,Silla University,1,0,0.54
442,6,1,4,2,6,Silla University,3,0,0.94
25,1,5,4,6,3,Silla University,3,0,1.0
436,2,4,3,7,5,Silla University,1,0,0.3401237828162047
442,3,1,2,3,8,Silla University,3,0,0.94
278,7,3,2,9,2,Silla University,1,0,0.54
310,8,2,2,7,5,Silla University,1,0,0.54
254,3,6,9,1,6,Silla University,4,0,0.0048705024157457
320,5,5,6,6,2,Silla University,4,0,0.0561970153419545
396,3,7,3,7,7,Silla University,1,0,0.0
10,2,7,3,9,8,Silla University,3,0,0.6376562252152462
436,6,2,4,9,1,Silla University,1,0,0.54
278,9,8,3,3,8,Silla University,1,0,0.3075252015768761
320,7,2,8,6,3,Silla University,4,0,0.39
139,7,5,3,6,9,Silla University,1,0,0.54
10,5,5,9,7,7,Silla University,3,0,0.8251336654266721
320,4,6,1,5,8,Silla University,4,0,0.39
278,3,9,9,9,8,Silla University,1,0,0.0665046225967944
445,6,1,2,6,3,Silla University,1,0,0.4399999999999999
310,8,4,2,2,6,Silla University,1,0,0.54
10,9,2,4,4,7,Silla University,3,0,0.94
310,3,9,6,9,7,Silla University,1,0,0.54
396,8,7,9,9,2,Silla University,1,0,0.0
442,9,4,4,9,5,Silla University,3,0,0.5402934165372341
25,4,7,3,5,7,Silla University,3,0,1.0
254,7,8,3,5,6,Silla University,4,0,0.39
396,1,7,6,5,9,Silla University,1,0,0.4399999999999999
436,3,4,6,5,1,Silla University,1,0,0.3751256220102545
445,4,5,4,9,9,Silla University,1,0,0.4399999999999999
139,7,5,4,2,8,Silla University,1,0,0.3871963987622293
310,2,3,6,1,6,Silla University,1,0,0.2652896027223001
445,2,8,9,3,5,Silla University,1,0,0.4399999999999999
310,1,2,7,3,6,Silla University,1,0,0.54
139,3,6,2,3,8,Silla University,1,0,0.54
320,2,2,4,4,1,Silla University,4,0,0.39
139,7,5,4,3,3,Silla University,1,0,0.54
10,5,1,6,3,1,Silla University,3,0,0.94
436,5,7,4,6,8,Silla University,1,0,0.3343393757835841
139,5,8,9,5,2,Silla University,1,0,0.54
139,9,6,2,7,8,Silla University,1,0,0.54
442,7,5,7,2,5,Silla University,3,0,0.94
10,2,3,1,8,3,Silla University,3,0,0.6046341770757373
396,4,8,6,1,2,Silla University,1,0,0.4399999999999999
310,7,5,5,8,6,Silla University,1,0,0.54
436,9,4,1,7,6,Silla University,1,0,0.54
254,9,4,8,6,3,Silla University,4,0,0.39
139,3,8,8,4,6,Silla University,1,0,0.2482994199430004
445,2,2,7,1,5,Silla University,1,0,0.062666111332989
436,8,8,1,3,6,Silla University,1,0,0.54
278,1,2,8,3,7,Silla University,1,0,0.54
436,7,2,1,8,5,Silla University,1,0,0.3525377077240403
310,9,9,8,3,8,Silla University,1,0,0.54
436,2,1,8,3,4,Silla University,1,0,0.54
25,1,6,3,9,9,Silla University,3,0,0.6492971745939465
320,6,3,5,6,7,Silla University,4,0,0.050656902240957
10,2,2,8,8,7,Silla University,3,0,0.4619339949835851
436,6,1,4,4,2,Silla University,1,0,0.2270857146349916
10,2,1,9,1,4,Silla University,3,0,0.94
436,5,5,9,1,6,Silla University,1,0,0.2446903769111601
139,8,9,5,8,8,Silla University,1,0,0.4053401416012067
139,8,3,2,8,6,Silla University,1,0,0.54
310,4,1,4,7,4,Silla University,1,0,0.2352337273307627
445,1,3,9,3,4,Silla University,1,0,0.0868524729876402
436,5,5,9,2,8,Silla University,1,0,0.54
139,5,6,6,1,6,Silla University,1,0,0.54
10,7,2,2,3,1,Silla University,3,0,0.6096230423957829
139,7,9,7,7,6,Silla University,1,0,0.54
310,1,1,2,3,6,Silla University,1,0,0.54
445,8,4,1,2,8,Silla University,1,0,0.4399999999999999
254,3,7,5,4,7,Silla University,4,0,0.39
139,1,5,1,9,3,Silla University,1,0,0.54
442,6,6,4,1,1,Silla University,3,0,0.94
320,7,2,4,7,7,Silla University,4,0,0.0934307696403878
445,1,4,6,1,3,Silla University,1,0,0.4399999999999999
278,6,4,2,7,5,Silla University,1,0,0.54
442,7,7,5,9,3,Silla University,3,0,0.5575114134348944
25,4,6,2,2,5,Silla University,3,0,1.0
254,1,5,6,2,1,Silla University,4,0,0.2672741669780286
139,1,7,3,9,8,Silla University,1,0,0.1465060025967817
436,2,2,9,7,8,Silla University,1,0,0.54
10,8,2,3,5,1,Silla University,3,0,0.94
278,3,1,3,1,9,Silla University,1,0,0.54
254,4,4,2,7,4,Silla University,4,0,0.39
442,6,7,1,2,8,Silla University,3,0,0.94
278,1,3,4,8,4,Silla University,1,0,0.3149394907589339
25,2,5,3,9,8,Silla University,3,0,0.6441559764275063
10,8,4,2,9,9,Silla University,3,0,0.94
445,1,4,8,3,5,Silla University,1,0,0.4399999999999999
278,4,7,9,8,4,Silla University,1,0,0.2114004727440477
10,8,7,2,5,7,Silla University,3,0,0.7926359633080176
396,9,3,3,7,9,Silla University,1,0,0.0
25,6,4,6,5,3,Silla University,3,0,0.6035289392541531
353,4,2,3,6,4,Woosuk University,4,0,0.0
286,2,8,5,7,1,Woosuk University,4,0,0.2899999999999999
305,5,9,9,6,6,Woosuk University,3,0,0.5806668559741083
492,6,1,1,9,8,Woosuk University,4,0,0.0
36,3,7,8,4,1,Woosuk University,4,0,0.2899999999999999
201,5,6,4,4,8,Woosuk University,2,0,0.79
173,7,4,6,9,9,Woosuk University,1,0,0.4399999999999999
36,9,8,6,8,2,Woosuk University,4,0,0.2899999999999999
347,1,7,3,7,7,Woosuk University,3,0,0.94
286,7,4,6,8,7,Woosuk University,4,0,0.2899999999999999
168,7,6,3,7,5,Woosuk University,3,0,0.94
323,8,8,9,1,2,Woosuk University,1,0,0.6399999999999999
176,5,6,9,2,3,Woosuk University,2,0,0.3640026128508445
353,1,8,2,3,4,Woosuk University,4,0,0.2899999999999999
323,4,9,4,2,2,Woosuk University,1,0,0.3839497156663827
173,7,8,7,5,3,Woosuk University,1,0,0.4399999999999999
168,7,1,8,5,9,Woosuk University,3,0,0.94
168,3,7,4,2,6,Woosuk University,3,0,0.94
176,9,4,3,3,4,Woosuk University,2,0,0.79
286,5,2,2,5,5,Woosuk University,4,0,0.2899999999999999
347,2,7,2,3,2,Woosuk University,3,0,0.7349912431541167
36,2,7,2,3,9,Woosuk University,4,0,0.0
173,2,4,4,1,5,Woosuk University,1,0,0.2706786462057565
323,7,4,7,3,9,Woosuk University,1,0,0.5258301875486225
102,8,8,6,5,4,Woosuk University,2,0,0.8899999999999999
347,7,2,6,9,5,Woosuk University,3,0,0.94
201,3,8,2,9,9,Woosuk University,2,0,0.79
201,2,3,9,4,2,Woosuk University,2,0,0.79
36,5,5,5,4,8,Woosuk University,4,0,0.2899999999999999
201,7,1,2,2,7,Woosuk University,2,0,0.79
305,5,7,6,3,6,Woosuk University,3,0,1.0
347,4,7,1,9,3,Woosuk University,3,0,0.94
173,3,2,2,5,8,Woosuk University,1,0,0.4399999999999999
286,4,8,3,6,5,Woosuk University,4,0,0.0240339977472064
347,7,8,2,7,7,Woosuk University,3,0,0.94
492,4,5,9,6,8,Woosuk University,4,0,0.39
323,3,6,3,7,5,Woosuk University,1,0,0.6399999999999999
353,9,3,5,6,9,Woosuk University,4,0,0.2899999999999999
36,7,7,2,4,1,Woosuk University,4,0,0.1403221423661102
102,6,5,5,5,8,Woosuk University,2,0,0.8899999999999999
323,6,9,6,9,4,Woosuk University,1,0,0.4463330680592502
173,4,4,3,3,3,Woosuk University,1,0,0.4399999999999999
492,8,4,3,6,8,Woosuk University,4,0,0.39
323,6,4,2,4,3,Woosuk University,1,0,0.6399999999999999
353,7,4,3,3,9,Woosuk University,4,0,0.2899999999999999
176,9,3,9,6,9,Woosuk University,2,0,0.79
36,7,6,5,5,7,Woosuk University,4,0,0.2899999999999999
36,5,3,5,5,2,Woosuk University,4,0,0.2899999999999999
353,4,7,3,5,1,Woosuk University,4,0,0.0724561633801564
353,8,9,3,4,2,Woosuk University,4,0,0.2899999999999999
102,1,6,5,4,4,Woosuk University,2,0,0.8899999999999999
323,2,1,2,3,3,Woosuk University,1,0,0.6399999999999999
347,9,9,4,6,7,Woosuk University,3,0,0.94
201,3,6,1,6,9,Woosuk University,2,0,0.79
492,5,3,6,1,1,Woosuk University,4,0,0.39
176,7,9,5,1,5,Woosuk University,2,0,0.79
323,5,6,2,7,3,Woosuk University,1,0,0.2298236416810146
102,1,6,6,5,9,Woosuk University,2,0,0.8899999999999999
323,1,5,1,3,6,Woosuk University,1,0,0.5150895172915051
347,7,6,3,8,3,Woosuk University,3,0,0.94
176,4,8,6,4,4,Woosuk University,2,0,0.4253037841078541
347,1,3,7,3,8,Woosuk University,3,0,0.94
36,8,7,9,8,6,Woosuk University,4,0,0.0
176,8,9,8,7,7,Woosuk University,2,0,0.79
305,2,2,8,1,4,Woosuk University,3,0,1.0
201,8,9,1,1,5,Woosuk University,2,0,0.588621242495404
492,6,2,8,9,7,Woosuk University,4,0,0.39
305,5,6,2,8,3,Woosuk University,3,0,1.0
353,2,9,8,6,5,Woosuk University,4,0,0.2899999999999999
102,5,6,5,3,6,Woosuk University,2,0,0.6384497307263098
286,3,2,2,5,3,Woosuk University,4,0,0.2899999999999999
305,1,2,7,9,3,Woosuk University,3,0,1.0
36,1,8,2,5,8,Woosuk University,4,0,0.2899999999999999
286,5,6,5,4,5,Woosuk University,4,0,0.2899999999999999
305,3,3,7,1,5,Woosuk University,3,0,1.0
201,8,9,6,7,4,Woosuk University,2,0,0.79
492,4,8,3,3,9,Woosuk University,4,0,0.39
102,3,8,7,5,5,Woosuk University,2,0,0.6223880722909508
201,3,6,9,9,2,Woosuk University,2,0,0.79
353,7,7,1,6,7,Woosuk University,4,0,0.2899999999999999
286,6,4,9,2,6,Woosuk University,4,0,0.0698372102003619
173,2,4,8,1,4,Woosuk University,1,0,0.4399999999999999
201,2,4,8,6,8,Woosuk University,2,0,0.79
347,2,7,6,7,8,Woosuk University,3,0,0.94
173,9,4,3,9,3,Woosuk University,1,0,0.044228104331372
305,3,2,8,4,7,Woosuk University,3,0,1.0
286,9,8,1,6,2,Woosuk University,4,0,0.0385045391142335
36,6,2,2,5,4,Woosuk University,4,0,0.2899999999999999
492,3,4,8,4,5,Woosuk University,4,0,0.39
353,9,9,3,2,9,Woosuk University,4,0,0.2899999999999999
353,1,1,5,4,8,Woosuk University,4,0,0.2899999999999999
347,8,5,7,3,3,Woosuk University,3,0,0.6001506179858046
492,2,6,2,8,4,Woosuk University,4,0,0.0
492,5,7,2,4,4,Woosuk University,4,0,0.39
173,5,9,9,9,1,Woosuk University,1,0,0.0418766502505936
173,6,6,7,6,9,Woosuk University,1,0,0.0
353,6,9,4,6,2,Woosuk University,4,0,0.2899999999999999
305,8,2,3,4,7,Woosuk University,3,0,1.0
305,4,6,2,9,6,Woosuk University,3,0,1.0
102,5,9,7,4,9,Woosuk University,2,0,0.8899999999999999
201,1,2,7,4,2,Woosuk University,2,0,0.79
168,6,1,2,7,9,Woosuk University,3,0,0.94
305,6,2,8,3,5,Woosuk University,3,0,0.8853382421025018
201,6,4,5,9,2,Woosuk University,2,0,0.3651873367563149
102,8,5,4,2,4,Woosuk University,2,0,0.8899999999999999
176,5,6,2,1,9,Woosuk University,2,0,0.79
492,7,7,4,3,3,Woosuk University,4,0,0.39
168,1,7,9,3,2,Woosuk University,3,0,0.94
201,2,9,3,4,3,Woosuk University,2,0,0.79
286,5,1,7,6,4,Woosuk University,4,0,0.2899999999999999
323,5,2,3,4,8,Woosuk University,1,0,0.6399999999999999
173,2,4,4,4,5,Woosuk University,1,0,0.4399999999999999
173,2,3,5,9,6,Woosuk University,1,0,0.002955177070898
492,5,3,2,5,6,Woosuk University,4,0,0.0
36,2,7,6,1,5,Woosuk University,4,0,0.2899999999999999
347,3,2,1,2,2,Woosuk University,3,0,0.94
176,1,6,6,4,5,Woosuk University,2,0,0.79
176,2,3,1,7,4,Woosuk University,2,0,0.79
305,5,2,3,3,5,Woosuk University,3,0,0.5869762670731019
173,3,8,3,3,1,Woosuk University,1,0,0.2561041049837624
168,4,1,7,3,7,Woosuk University,3,0,0.8336374342241221
36,3,5,2,6,2,Woosuk University,4,0,0.2899999999999999
102,2,3,3,2,2,Woosuk University,2,0,0.8899999999999999
201,9,8,9,2,5,Woosuk University,2,0,0.3328144380831529
173,7,4,9,9,8,Woosuk University,1,0,0.4399999999999999
176,4,6,1,4,9,Woosuk University,2,0,0.79
176,5,7,5,2,1,Woosuk University,2,0,0.79
492,1,6,4,9,4,Woosuk University,4,0,0.39
305,7,2,4,3,5,Woosuk University,3,0,0.8886957607814531
168,4,8,8,5,5,Woosuk University,3,0,0.94
323,7,1,1,1,1,Woosuk University,1,0,0.6399999999999999
176,3,6,2,5,3,Woosuk University,2,0,0.5475879074771182
176,6,8,2,9,9,Woosuk University,2,0,0.4785298695776638
176,8,5,5,2,8,Woosuk University,2,0,0.79
286,5,4,1,5,4,Woosuk University,4,0,0.2899999999999999
353,7,4,6,6,5,Woosuk University,4,0,0.2899999999999999
286,1,7,1,4,8,Woosuk University,4,0,0.2899999999999999
102,9,3,5,9,8,Woosuk University,2,0,0.8899999999999999
168,8,8,1,9,4,Woosuk University,3,0,0.94
353,3,7,4,4,2,Woosuk University,4,0,0.0
102,1,3,8,7,3,Woosuk University,2,0,0.8899999999999999
168,9,8,7,5,5,Woosuk University,3,0,0.94
168,6,5,5,2,5,Woosuk University,3,0,0.682982533677527
286,7,4,8,9,5,Woosuk University,4,0,0.2899999999999999
201,4,3,7,8,7,Woosuk University,2,0,0.5839919644369009
305,3,6,5,1,8,Woosuk University,3,0,1.0
492,2,6,5,9,9,Woosuk University,4,0,0.39
286,9,5,7,8,4,Woosuk University,4,0,0.0
168,4,7,8,5,1,Woosuk University,3,0,0.94
323,7,4,4,7,9,Woosuk University,1,0,0.6399999999999999
173,1,1,1,2,1,Woosuk University,1,0,0.4399999999999999
102,7,7,9,1,7,Woosuk University,2,0,0.8899999999999999
323,6,9,4,4,9,Woosuk University,1,0,0.6399999999999999
323,6,6,1,9,5,Woosuk University,1,0,0.6399999999999999
173,3,1,8,9,1,Woosuk University,1,0,0.4399999999999999
102,3,8,5,1,2,Woosuk University,2,0,0.610670549129821
36,4,2,8,4,4,Woosuk University,4,0,0.2899999999999999
347,2,2,9,8,2,Woosuk University,3,0,0.7294057165679275
347,4,6,6,7,8,Woosuk University,3,0,0.94
492,3,3,9,3,2,Woosuk University,4,0,0.0
323,4,5,4,2,8,Woosuk University,1,0,0.4305384448987311
323,7,9,9,1,1,Woosuk University,1,0,0.6399999999999999
168,7,8,4,3,1,Woosuk University,3,0,0.94
42,2,2,2,2,9,Gyeongsang National University,4,32,0.2899999999999999
83,2,9,8,9,3,Gyeongsang National University,2,32,0.69
109,1,5,4,8,3,Gyeongsang National University,2,32,0.69
260,6,4,2,7,6,Gyeongsang National University,1,32,0.54
264,2,3,4,6,6,Gyeongsang National University,2,32,0.79
348,4,3,9,5,8,Gyeongsang National University,4,32,0.39
360,3,4,6,5,9,Gyeongsang National University,4,32,0.2899999999999999
414,8,9,3,6,1,Gyeongsang National University,2,32,0.69
488,3,4,5,4,9,Gyeongsang National University,4,32,0.2899999999999999
494,2,3,8,8,8,Gyeongsang National University,2,32,0.69
42,5,5,1,7,4,Gyeongsang National University,4,32,0.2899999999999999
83,1,1,8,6,5,Gyeongsang National University,2,32,0.69
109,9,4,2,8,2,Gyeongsang National University,2,32,0.69
260,1,3,3,4,4,Gyeongsang National University,1,32,0.54
264,9,8,5,1,1,Gyeongsang National University,2,32,0.79
348,5,7,7,8,6,Gyeongsang National University,4,32,0.39
360,1,5,7,9,8,Gyeongsang National University,4,32,0.2899999999999999
414,9,5,7,1,1,Gyeongsang National University,2,32,0.69
488,5,1,8,9,9,Gyeongsang National University,4,32,0.2899999999999999
494,8,4,1,2,7,Gyeongsang National University,2,32,0.69
42,5,3,1,1,7,Gyeongsang National University,4,32,0.2899999999999999
83,9,8,8,2,8,Gyeongsang National University,2,32,0.69
109,7,7,7,1,8,Gyeongsang National University,2,32,0.69
260,9,2,1,5,9,Gyeongsang National University,1,32,0.54
264,5,7,1,9,6,Gyeongsang National University,2,32,0.79
348,4,6,7,3,5,Gyeongsang National University,4,32,0.39
360,4,3,7,4,8,Gyeongsang National University,4,32,0.2899999999999999
414,7,3,3,5,8,Gyeongsang National University,2,32,0.69
488,5,5,9,9,3,Gyeongsang National University,4,32,0.2899999999999999
494,4,9,4,4,4,Gyeongsang National University,2,32,0.69
42,9,2,9,6,6,Gyeongsang National University,4,32,0.2899999999999999
83,8,7,5,8,6,Gyeongsang National University,2,32,0.69
109,9,5,7,4,6,Gyeongsang National University,2,32,0.69
260,1,9,3,7,8,Gyeongsang National University,1,32,0.54
264,3,4,5,6,1,Gyeongsang National University,2,32,0.79
348,4,8,6,2,8,Gyeongsang National University,4,32,0.39
360,8,9,6,3,1,Gyeongsang National University,4,32,0.2899999999999999
414,9,6,1,7,1,Gyeongsang National University,2,32,0.69
488,1,2,4,9,6,Gyeongsang National University,4,32,0.2899999999999999
494,8,4,2,4,3,Gyeongsang National University,2,32,0.69
42,5,4,8,6,8,Gyeongsang National University,4,32,0.2899999999999999
83,7,5,6,2,9,Gyeongsang National University,2,32,0.69
109,6,2,9,5,6,Gyeongsang National University,2,32,0.69
260,1,7,7,4,1,Gyeongsang National University,1,32,0.54
264,4,2,2,8,9,Gyeongsang National University,2,32,0.79
348,6,6,2,4,3,Gyeongsang National University,4,32,0.39
360,3,2,2,1,5,Gyeongsang National University,4,32,0.2899999999999999
414,8,8,8,3,9,Gyeongsang National University,2,32,0.69
488,6,4,5,5,2,Gyeongsang National University,4,32,0.2899999999999999
494,9,6,3,3,6,Gyeongsang National University,2,32,0.69
42,5,8,4,8,9,Gyeongsang National University,4,32,0.2899999999999999
83,1,5,5,4,6,Gyeongsang National University,2,32,0.69
109,5,3,2,1,2,Gyeongsang National University,2,32,0.69
260,8,5,5,7,6,Gyeongsang National University,1,32,0.54
264,2,3,2,2,3,Gyeongsang National University,2,32,0.79
348,9,7,8,4,9,Gyeongsang National University,4,32,0.39
360,3,2,6,9,7,Gyeongsang National University,4,32,0.2899999999999999
414,1,5,7,2,5,Gyeongsang National University,2,32,0.69
488,5,2,5,2,9,Gyeongsang National University,4,32,0.2899999999999999
494,2,2,6,3,3,Gyeongsang National University,2,32,0.69
42,9,2,4,2,8,Gyeongsang National University,4,32,0.2899999999999999
83,9,9,7,3,9,Gyeongsang National University,2,32,0.69
109,8,5,3,8,1,Gyeongsang National University,2,32,0.69
260,4,2,7,1,4,Gyeongsang National University,1,32,0.54
264,1,6,4,1,8,Gyeongsang National University,2,32,0.79
348,3,5,2,2,2,Gyeongsang National University,4,32,0.39
360,6,8,2,7,6,Gyeongsang National University,4,32,0.2899999999999999
414,1,1,3,1,3,Gyeongsang National University,2,32,0.69
488,9,9,2,4,3,Gyeongsang National University,4,32,0.2899999999999999
494,9,6,5,1,7,Gyeongsang National University,2,32,0.69
42,9,1,3,4,8,Gyeongsang National University,4,32,0.2899999999999999
83,5,9,2,8,4,Gyeongsang National University,2,32,0.69
109,8,9,7,5,4,Gyeongsang National University,2,32,0.69
260,4,8,6,6,4,Gyeongsang National University,1,32,0.54
264,9,4,3,8,6,Gyeongsang National University,2,32,0.79
348,5,5,1,4,9,Gyeongsang National University,4,32,0.39
360,2,1,9,4,1,Gyeongsang National University,4,32,0.2899999999999999
414,6,1,2,1,2,Gyeongsang National University,2,32,0.69
488,4,1,1,7,1,Gyeongsang National University,4,32,0.2899999999999999
494,5,7,3,5,4,Gyeongsang National University,2,32,0.69
42,4,6,1,3,4,Gyeongsang National University,4,32,0.2899999999999999
83,4,5,1,6,7,Gyeongsang National University,2,32,0.69
109,5,1,3,1,7,Gyeongsang National University,2,32,0.69
260,7,8,3,3,8,Gyeongsang National University,1,32,0.54
264,1,8,4,6,1,Gyeongsang National University,2,32,0.79
348,7,5,7,8,7,Gyeongsang National University,4,32,0.39
360,2,4,8,9,6,Gyeongsang National University,4,32,0.2899999999999999
414,7,1,7,7,1,Gyeongsang National University,2,32,0.69
488,8,2,4,9,6,Gyeongsang National University,4,32,0.2899999999999999
494,1,1,9,4,7,Gyeongsang National University,2,32,0.69
